title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2023 Mazda CX-5 Base,Ref# 420758,Dubai,"78,279 km",GCC Specs,Automatic,2500 cc,"AED 81,090","AED 58,000",Ended,"Jan 28, 2026  at 2:39 PM",Wednesday at 2:19 PM,2023_Mazda_CX5_Base_Wednesday_219PM,2026-01-28 09:12:39.354067
2023 Porsche Carrera / 911 Targa 4,Ref# 420696,Dubai,"12,416 km",European Specs,Automatic,3000 cc,"AED 603,200","AED 320,000",,,Wednesday at 2:45 PM,2023_Porsche_Carrera_911_Targa_4_Wednesday_245PM,2026-01-28 09:15:40.371166
2016 Bentley Continental Gt,Ref# 420360,Dubai,"55,086 km",GCC Specs,Automatic,4000 cc,"AED 228,855","AED 156,000",Ended,"Jan 28, 2026  at 2:41 PM",Wednesday at 2:10 PM,2016_Bentley_Continental_Gt_Wednesday_210PM,2026-01-28 09:16:00.466543
2024 Toyota Urban Cruiser GLX,Ref# 420570,Dubai,"15,803 km",GCC Specs,Automatic,1500 cc,"AED 74,200","AED 56,000",,,Wednesday at 5:22 PM,2024_Toyota_Urban_Cruiser_GLX_Wednesday_522PM,2026-01-28 12:02:10.353821
2013 Audi A5 Sportback 2.0 TFSi,Ref# 420344,Dubai,"185,915 km",GCC Specs,Automatic,2000 cc,"AED 27,875","AED 12,500",,,Wednesday at 5:14 PM,2013_Audi_A5_Sportback_20_TFSi_Wednesday_514PM,2026-01-28 12:02:24.650381
2018 BMW 4-Series 430i Convertible,Ref# 421460,Dubai,"109,417 km",GCC Specs,Automatic,2000 cc,"AED 95,400","AED 63,000",,,Wednesday at 5:14 PM,2018_BMW_4Series_430i_Convertible_Wednesday_514PM,2026-01-28 12:02:38.698237
2023 Mercedes-Benz E-Class E 200,Ref# 422277,Dubai,"55,256 km",GCC Specs,Automatic,2000 cc,"AED 182,875","AED 159,500",Ended,"Jan 28, 2026  at 5:21 PM",Wednesday at 5:01 PM,2023_MercedesBenz_EClass_E_200_Wednesday_501PM,2026-01-28 12:02:52.555619
2016 Ford Explorer Xlt,Ref# 414999,Dubai,"103,791 km",GCC Specs,Automatic,3500 cc,"AED 43,600","AED 28,500",Ended,"Jan 28, 2026  at 5:18 PM",Wednesday at 5:00 PM,2016_Ford_Explorer_Xlt_Wednesday_500PM,2026-01-28 12:03:04.684087
2022 Kia Sportage Lx,Ref# 420962,Fujairah,"61,395 km",GCC Specs,Automatic,2000 cc,"AED 66,650","AED 44,000",Ended,"Jan 28, 2026  at 8:40 PM",Wednesday at 8:30 PM,2022_Kia_Sportage_Lx_Wednesday_830PM,2026-01-28 16:58:10.764535
2017 Toyota Prado Vx Top,Ref# 420682,Dubai,"116,747 km",GCC Specs,Automatic,4000 cc,"AED 116,600","AED 90,000",Ended,"Jan 28, 2026  at 8:40 PM",Wednesday at 8:25 PM,2017_Toyota_Prado_Vx_Top_Wednesday_825PM,2026-01-28 16:58:23.181097
